Date : 2022-11-22 04:36:43
Directory : /Users/tkkwon/Github/2022-11-canto
Total : 429 files,  148721 codes, 27532 comments, 17683 blanks, all 193936 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/tkkwon/Github/2022-11-canto/Canto/proposal/GovernanceMigration.json                                    | JSON             |          7 |          0 |          1 |          8 |
| /Users/tkkwon/Github/2022-11-canto/Canto/proposal/LpGovernanceMigration.json                                  | JSON             |          7 |          0 |          1 |          8 |
| /Users/tkkwon/Github/2022-11-canto/Canto/proposal/MaxGasPerBlock.json                                         | JSON             |         12 |          0 |          0 |         12 |
| /Users/tkkwon/Github/2022-11-canto/Canto/proposal/coin.json                                                   | JSON             |         18 |          0 |          1 |         19 |
| /Users/tkkwon/Github/2022-11-canto/Canto/proposal/communityPoolSpend.json                                     | JSON             |          7 |          0 |          0 |          7 |
| /Users/tkkwon/Github/2022-11-canto/Canto/proposal/emissions.json                                              | JSON             |          7 |          0 |          0 |          7 |
| /Users/tkkwon/Github/2022-11-canto/Canto/proposal/inflationProp.json                                          | JSON             |         12 |          0 |          0 |         12 |
| /Users/tkkwon/Github/2022-11-canto/Canto/proposal/metadata.json                                               | JSON             |          7 |          0 |          1 |          8 |
| /Users/tkkwon/Github/2022-11-canto/Canto/proposal/prop.json                                                   | JSON             |         18 |          0 |          2 |         20 |
| /Users/tkkwon/Github/2022-11-canto/Canto/proposal/testProp.json                                               | JSON             |          7 |          0 |          1 |          8 |
| /Users/tkkwon/Github/2022-11-canto/Canto/proposal/treasury.json                                               | JSON             |          6 |          0 |          2 |          8 |
| /Users/tkkwon/Github/2022-11-canto/Canto/proto/buf.yaml                                                       | YAML             |         19 |          0 |          0 |         19 |
| /Users/tkkwon/Github/2022-11-canto/Canto/scripts/integration-test-all.sh                                      | Shell Script     |        137 |         12 |         32 |        181 |
| /Users/tkkwon/Github/2022-11-canto/Canto/scripts/proto-tools-installer.sh                                     | Shell Script     |        125 |          1 |         30 |        156 |
| /Users/tkkwon/Github/2022-11-canto/Canto/scripts/protoc-swagger-gen.sh                                        | Shell Script     |         17 |          8 |          7 |         32 |
| /Users/tkkwon/Github/2022-11-canto/Canto/scripts/protocgen.sh                                                 | Shell Script     |         28 |         11 |         17 |         56 |
| /Users/tkkwon/Github/2022-11-canto/Canto/scripts/start-docker.sh                                              | Shell Script     |         24 |          1 |          4 |         29 |
| /Users/tkkwon/Github/2022-11-canto/Canto/testutil/fund.go                                                     | Go               |         18 |          6 |          6 |         30 |
| /Users/tkkwon/Github/2022-11-canto/Canto/testutil/network/doc.go                                              | Go               |          1 |         64 |          1 |         66 |
| /Users/tkkwon/Github/2022-11-canto/Canto/testutil/network/network.go                                          | Go               |        550 |         49 |         96 |        695 |
| /Users/tkkwon/Github/2022-11-canto/Canto/testutil/network/network_test.go                                     | Go               |         46 |          2 |         17 |         65 |
| /Users/tkkwon/Github/2022-11-canto/Canto/testutil/network/util.go                                             | Go               |        196 |          7 |         60 |        263 |
| /Users/tkkwon/Github/2022-11-canto/Canto/third_party/proto/buf.yaml                                           | YAML             |         36 |          0 |          0 |         36 |
| /Users/tkkwon/Github/2022-11-canto/Canto/types/errors.go                                                      | Go               |         11 |          3 |          5 |         19 |
| /Users/tkkwon/Github/2022-11-canto/Canto/types/utils.go                                                       | Go               |         55 |         13 |         14 |         82 |
| /Users/tkkwon/Github/2022-11-canto/Canto/types/utils_test.go                                                  | Go               |        120 |          0 |         10 |        130 |
| /Users/tkkwon/Github/2022-11-canto/Canto/version/version.go                                                   | Go               |         29 |          0 |          7 |         36 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/client/cli/query.go                                            | Go               |        143 |         14 |         38 |        195 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/client/cli/tx.go                                               | Go               |         17 |          2 |          5 |         24 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/genesis.go                                                     | Go               |         18 |          6 |          5 |         29 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/handler.go                                                     | Go               |         14 |          2 |          4 |         20 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/begin_block_test.go                                     | Go               |         16 |          7 |          7 |         30 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/csr.go                                                  | Go               |         59 |         17 |         14 |         90 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/csr_test.go                                             | Go               |         58 |         13 |         15 |         86 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/errors.go                                               | Go               |         16 |          2 |          4 |         22 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/event_handler.go                                        | Go               |         71 |         25 |         15 |        111 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/event_handler_test.go                                   | Go               |        184 |         22 |         13 |        219 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/evm.go                                                  | Go               |        105 |         28 |         21 |        154 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/evm_hook_test.go                                        | Go               |        480 |         25 |         49 |        554 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/evm_hooks.go                                            | Go               |         91 |         22 |         23 |        136 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/evm_test.go                                             | Go               |        112 |         23 |         13 |        148 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/grpc_query.go                                           | Go               |         86 |          7 |         21 |        114 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/grpc_query_test.go                                      | Go               |        281 |          8 |         35 |        324 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/integration_test.go                                     | Go               |        117 |         30 |         38 |        185 |
